Id;industry;name;market_cap;stock;country;founded_year;ceo;web_page
79159;;ALL ABOUT AMPS LTD;;;;;;
79166;;ALL ABOUT APPS LTD;;;;;;
79196;;ALL ABOUT CARS LIMITED;;;;;;
79201;;ALL ABOUT CARE LIMITED;;;;;;
79246;;ALL ABOUT DOORS LIMITED;;;;;;
79473;;ALL ABOUT TOURS LIMITED;;;;;;
79296;;ALL ABOUT GIFTS LIMITED;;;;;;
79322;;ALL ABOUT LOFTS LIMITED;;;;;;
79301;;ALL ABOUT HANDS LIMITED;;;;;;
79368;;ALL ABOUT PONDS LIMITED;;;;;;
79420;;ALL ABOUT THE BEATS LTD;;;;;;
79456;;ALL ABOUT THE MELTS LTD;;;;;;
79426;;ALL ABOUT THE BEES LIMITED;;;;;;
79458;;ALL ABOUT THE PETS LIMITED;;;;;;
79437;;ALL ABOUT THE CORE LIMITED;;;;;;
79442;;ALL ABOUT THE DOOR LIMITED;;;;;;
79444;;ALL ABOUT THE DOLL LIMITED;;;;;;
79457;;ALL ABOUT THE HOME LIMITED;;;;;;
79450;;ALL ABOUT THE LOVE LTD;;;;;;
79465;;ALL ABOUT THE MOVE LTD;;;;;;
79478;;ALL ABOUT U CARE SERVICES LIMITED;;;;;;
79504;;ALL ABOUT YOU CARE SERVICES LIMITED;;;;;;
5139;Financial Services;LPL Financial Holdings Inc;$18.3B;;United States of America;;;lplfinancial.lpl.com
125236;;LPL Financial Holdings Inc.;$14.31 Billion;;;;Mr. Dan Hogan Arnold Jr., B.S., M.B.A., CPA;
25219;['Healthcare', 'HealthCare Products', 'Healthcare Service', 'Hospitals'];ADDUS HOMECARE CORPORATION;;;USA;;Not found;
32026;;Addus HomeCare;$1.76 B;;USA;;;
67978;;ADDUS HOMECARE CORPORATION;;;USA;;nan;
67979;;ADDUS HOMECARE CORPORATION;1.431 Billion USD;;USA;;nan;
77274;;Addus Homecare;$1.76 B;;USA;;;
90925;['Healthcare', 'HealthCare Products', 'Healthcare Service'];ADDUS HOMECARE CORPORATION;;;;;nan;
96224;;Addus HomeCare;;;USA;;;
142212;;Addus HomeCare;$1.71 B;ADUS;USA;;;
147960;[];Addus HomeCare;$1.70 B;ADUS;USA;;;
157814;;Addus HomeCare;$1.68 B;ADUS;USA;;;
174973;;Addus HomeCare;$1.78 B;ADUS;;;;https://companiesmarketcap.com/addus/marketcap/
180939;;"Addus HomeCare";$1.69 B;;usa;;;
84966;;"""Q"" (CHESTER GREEN) MANAGEMENT COMPANY LIMITED";;;;;;
104229;Technology;Q;;;Croatia;;;
115446;;Jash Engineering Ltd;₹6.21 Billion;;;;Not found;
133597;Engineering & Construction;Jash Engineering;;;;1948 (75 yrs old);;
79660;;T A B ENGINEERING LIMITED;;;;;;
80415;;T & B ENGINEERING LIMITED;;;;;;
83556;;T A B ENGINEERING LIMITED;;;;;;
83870;;T & B ENGINEERING LIMITED;;;;;;
162125;;T A B ENGINEERING LIMITED;;;;;;https://find-and-update.company-information.service.gov.uk/company/04180454
162443;;T & B ENGINEERING LIMITED;;;;;;https://find-and-update.company-information.service.gov.uk/company/05139824
79537;;'Q' ACCOUNTANCY SERVICES LIMITED;;;;;;
84597;;'Q' ACCOUNTANCY SERVICES LIMITED;;;;;;
162525;;G ACCOUNTANCY SERVICES LIMITED;;;;;;https://find-and-update.company-information.service.gov.uk/company/10254862
5160;Retailing;Distribuidora Internacional de Alimentacion SA;$877.3M;;Spain;;;www.dia.es
115244;;Distribuidora Internacional de Alimentación, SA;€897.5 Million;;;;Not found;
9318;;e-mart;;;south korea;;;
20819;['Consumer Defensive', 'Retail', 'Hypermarkets'];E-MART;;;South Korea;;Not found;
46861;['Consumer Defensive', 'Retail', 'Hypermarkets'];E-mart;;;South Korea;;nan;http://www.emartcompany.com/en/main.do
60522;;E-MART;;;South Korea;;nan;
60523;;E-MART;4.302 Billion USD;;South Korea;;nan;
87655;['Consumer Defensive', 'Retail', 'Hypermarkets'];E-MART;;;;;nan;
164627;Supermarket;E-Mart;;;;;;
168862;;E-mart;$3.08 B;;South Korea;;;
