,True ID,Id,industry,name,market_cap,stock,country,founded_year,ceo,web_page
0,0,79159,,ALL ABOUT AMPS LTD,,,,,,
1,1111110,79166,,ALL ABOUT APPS LTD,,,,,,
2,1,79196,,ALL ABOUT CARS LIMITED,,,,,,
3,1212121,79201,,ALL ABOUT CARE LIMITED,,,,,,
4,2,79246,,ALL ABOUT DOORS LIMITED,,,,,,
5,11111112,79473,,ALL ABOUT TOURS LIMITED,,,,,,
6,3,79296,,ALL ABOUT GIFTS LIMITED,,,,,,
7,11111113,79322,,ALL ABOUT LOFTS LIMITED,,,,,,
8,4,79301,,ALL ABOUT HANDS LIMITED,,,,,,
9,11111114,79368,,ALL ABOUT PONDS LIMITED,,,,,,
10,5,79420,,ALL ABOUT THE BEATS LTD,,,,,,
11,111111115,79456,,ALL ABOUT THE MELTS LTD,,,,,,
12,6,79426,,ALL ABOUT THE BEES LIMITED,,,,,,
13,11111116,79458,,ALL ABOUT THE PETS LIMITED,,,,,,
14,7,79437,,ALL ABOUT THE CORE LIMITED,,,,,,
15,11111117,79442,,ALL ABOUT THE DOOR LIMITED,,,,,,
16,7,79444,,ALL ABOUT THE DOLL LIMITED,,,,,,
17,7,79457,,ALL ABOUT THE HOME LIMITED,,,,,,
18,8,79450,,ALL ABOUT THE LOVE LTD,,,,,,
19,11111118,79465,,ALL ABOUT THE MOVE LTD,,,,,,
20,9,79478,,ALL ABOUT U CARE SERVICES LIMITED,,,,,,
21,9,79504,,ALL ABOUT YOU CARE SERVICES LIMITED,,,,,,
22,10,5139,Financial Services,LPL Financial Holdings Inc,$18.3B,,United States of America,,,lplfinancial.lpl.com
23,10,125236,,LPL Financial Holdings Inc.,$14.31 Billion,,,,"Mr. Dan Hogan Arnold Jr., B.S., M.B.A., CPA",
24,11,25219,"['Healthcare', 'HealthCare Products', 'Healthcare Service', 'Hospitals']",ADDUS HOMECARE CORPORATION,,,USA,,Not found,
25,11,32026,,Addus HomeCare,$1.76 B,,USA,,,
26,11,67978,,ADDUS HOMECARE CORPORATION,,,USA,,,
27,11,67979,,ADDUS HOMECARE CORPORATION,1.431 Billion USD,,USA,,,
28,11,77274,,Addus Homecare,$1.76 B,,USA,,,
29,11,90925,"['Healthcare', 'HealthCare Products', 'Healthcare Service']",ADDUS HOMECARE CORPORATION,,,,,,
30,11,96224,,Addus HomeCare,,,USA,,,
31,11,142212,,Addus HomeCare,$1.71 B,ADUS,USA,,,
32,11,147960,[],Addus HomeCare,$1.70 B,ADUS,USA,,,
33,11,157814,,Addus HomeCare,$1.68 B,ADUS,USA,,,
34,11,174973,,Addus HomeCare,$1.78 B,ADUS,,,,https://companiesmarketcap.com/addus/marketcap/
35,11,180939,,"Addus HomeCare",$1.69 B,,usa,,,
36,12,84966,,"""Q"" (CHESTER GREEN) MANAGEMENT COMPANY LIMITED",,,,,,
37,11212112,104229,Technology,Q,,,Croatia,,,
38,13,115446,,Jash Engineering Ltd,₹6.21 Billion,,,,Not found,
39,13,133597,Engineering & Construction,Jash Engineering,,,,1948 (75 yrs old),,
40,14,79660,,T A B ENGINEERING LIMITED,,,,,,
41,14,80415,,T & B ENGINEERING LIMITED,,,,,,
42,14,83556,,T A B ENGINEERING LIMITED,,,,,,
43,14,83870,,T & B ENGINEERING LIMITED,,,,,,
44,14,162125,,T A B ENGINEERING LIMITED,,,,,,https://find-and-update.company-information.service.gov.uk/company/04180454
